,SV.,SS.,SM.,OA.,V.,ND.,LC.,U.,8N.,Pokémon,,Format,Index
,-,-,-,-,-,-,-,-,-,-,,SV,0
,1,1,1,1,1,1,12,1,1,Bulbasaur,,SS,1
,1,-,-,-,-,-,-,-,-,Bulbasaur (T),,SM,2
,-,-,1,-,-,-,-,-,-,Bulbasaur (Z),,ORAS,3
,1,1,1,1,1,1,-,1,1,Ivysaur,,VGC,4
,1,-,-,-,-,-,-,-,-,Ivysaur (T),,National Dex,5
,-,-,1,-,-,-,-,-,-,Ivysaur (Z),,Little Cup,6
,8,6,5,6,8,7,-,9,7,Venusaur,,Natdex Ubers,7
,8,-,-,-,-,-,-,-,-,Venusaur (T),,SS National Dex,8
,-,-,5,-,-,-,-,-,-,Venusaur (Z),,,
,-,-,8,10,-,11,-,10,12,Mega Venusaur,,,
,1,1,1,1,1,1,6,1,1,Charmander,,,
,1,-,-,-,-,-,-,-,-,Charmander (T),,,
,-,-,1,-,-,-,-,-,-,Charmander (Z),,,
,1,1,1,1,1,1,-,1,1,Charmeleon,,,
,1,-,-,-,-,-,-,-,-,Charmeleon (T),,,
,-,-,1,-,-,-,-,-,-,Charmeleon (Z),,,
,3,2,2,2,4,3,-,6,3,Charizard,,,
,3,-,-,-,-,-,-,-,-,Charizard (T),,,
,-,-,2,-,-,-,-,-,-,Charizard (Z),,,
,-,-,17,16,-,15,-,16,16,Mega Charizard X,,,
,-,-,13,13,-,13,-,11,12,Mega Charizard Y,,,
,1,1,1,1,1,1,10,1,1,Squirtle,,,
,1,-,-,-,-,-,-,-,-,Squirtle (T),,,
,-,-,1,-,-,-,-,-,-,Squirtle (Z),,,
,1,1,1,1,1,1,-,1,1,Wartortle,,,
,1,-,-,-,-,-,-,-,-,Wartortle (T),,,
,-,-,1,-,-,-,-,-,-,Wartortle (Z),,,
,8,13,8,10,8,10,-,8,11,Blastoise,,,
,10,-,-,-,-,-,-,-,-,Blastoise (T),,,
,-,-,8,-,-,-,-,-,-,Blastoise (Z),,,
,-,-,10,13,-,99,-,22,12,Mega Blastoise,,,
,-,1,1,1,-,1,1,1,1,Caterpie,,,
,-,-,-,-,-,-,-,-,-,Caterpie (T),,,
,-,-,1,-,-,-,-,-,-,Caterpie (Z),,,
,-,1,1,1,-,1,-,1,1,Metapod,,,
,-,-,-,-,-,-,-,-,-,Metapod (T),,,
